,Domain,Type,TLD Manager
242,.chanel,generic,Chanel International B.V.
243,.channel,generic,Charleston Road Registry Inc.
244,.charity,generic,"Corn Lake, LLC"
245,.chase,generic,"JPMorgan Chase Bank, National Association"
246,.chat,generic,"Binky Moon, LLC"
247,.cheap,generic,"Binky Moon, LLC"
248,.chintai,generic,CHINTAI Corporation
249,.chloe,generic,Not assigned
250,.christmas,generic,"Uniregistry, Corp."
251,.chrome,generic,Charleston Road Registry Inc.
252,.chrysler,generic,Not assigned
253,.church,generic,"Binky Moon, LLC"
254,.ci,country-code,Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI)
255,.cipriani,generic,Hotel Cipriani Srl
256,.circle,generic,"Amazon Registry Services, Inc."
257,.cisco,generic,"Cisco Technology, Inc."
258,.citadel,generic,Citadel Domain LLC
259,.citi,generic,Citigroup Inc.
260,.citic,generic,CITIC Group Corporation
261,.city,generic,"Binky Moon, LLC"
262,.cityeats,generic,"Lifestyle Domain Holdings, Inc."
263,.ck,country-code,Telecom Cook Islands Ltd.
264,.cl,country-code,NIC Chile (University of Chile)
265,.claims,generic,"Binky Moon, LLC"
266,.cleaning,generic,"Binky Moon, LLC"
267,.click,generic,"Uniregistry, Corp."
268,.clinic,generic,"Binky Moon, LLC"
269,.clinique,generic,The Estée Lauder Companies Inc.
270,.clothing,generic,"Binky Moon, LLC"
271,.cloud,generic,ARUBA PEC S.p.A.
272,.club,generic,".CLUB DOMAINS, LLC"
273,.clubmed,generic,Club Méditerranée S.A.
274,.cm,country-code,Cameroon Telecommunications (CAMTEL)
275,.cn,country-code,China Internet Network Information Center (CNNIC)
276,.co,country-code,.CO Internet S.A.S.
277,.coach,generic,"Binky Moon, LLC"
278,.codes,generic,"Binky Moon, LLC"
279,.coffee,generic,"Binky Moon, LLC"
280,.college,generic,XYZ.COM LLC
281,.cologne,generic,dotKoeln GmbH
282,.com,generic,VeriSign Global Registry Services
283,.comcast,generic,"Comcast IP Holdings I, LLC"
284,.commbank,generic,COMMONWEALTH BANK OF AUSTRALIA
285,.community,generic,"Binky Moon, LLC"
286,.company,generic,"Binky Moon, LLC"
287,.compare,generic,"Registry Services, LLC"
288,.computer,generic,"Binky Moon, LLC"
289,.comsec,generic,"VeriSign, Inc."
290,.condos,generic,"Binky Moon, LLC"
291,.construction,generic,"Binky Moon, LLC"
292,.consulting,generic,"United TLD Holdco, LTD."
293,.contact,generic,"Dog Beach, LLC"
294,.contractors,generic,"Binky Moon, LLC"
295,.cooking,generic,Minds + Machines Group Limited
296,.cookingchannel,generic,"Lifestyle Domain Holdings, Inc."
297,.cool,generic,"Binky Moon, LLC"
298,.coop,sponsored,DotCooperation LLC
299,.corsica,generic,Collectivité de Corse
300,.country,generic,Top Level Domain Holdings Limited
301,.coupon,generic,"Amazon Registry Services, Inc."
302,.coupons,generic,"Binky Moon, LLC"
303,.courses,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD
304,.cpa,generic,American Institute of Certified Public Accountants
305,.cr,country-code,National Academy of Sciences
306,.credit,generic,"Binky Moon, LLC"
307,.creditcard,generic,"Binky Moon, LLC"
308,.creditunion,generic,"CUNA Performance Resources, LLC"
309,.cricket,generic,dot Cricket Limited
310,.crown,generic,Crown Equipment Corporation
311,.crs,generic,Federated Co-operatives Limited
312,.cruise,generic,Viking River Cruises (Bermuda) Ltd.
313,.cruises,generic,"Binky Moon, LLC"
314,.csc,generic,"Alliance-One Services, Inc."
315,.cu,country-code,CENIAInternet
316,.cuisinella,generic,SALM S.A.S.
317,.cv,country-code,Agência Reguladora Multissectorial da Economia (ARME)
318,.cw,country-code,University of Curacao
319,.cx,country-code,Christmas Island Domain Administration Limited
320,.cy,country-code,University of Cyprus
321,.cymru,generic,Nominet UK
322,.cyou,generic,Shortdot SA
323,.cz,country-code,"CZ.NIC, z.s.p.o"
324,.dabur,generic,Dabur India Limited
325,.dad,generic,Charleston Road Registry Inc.
326,.dance,generic,United TLD Holdco Ltd.
327,.data,generic,Dish DBS Corporation
328,.date,generic,dot Date Limited
329,.dating,generic,"Binky Moon, LLC"
330,.datsun,generic,"NISSAN MOTOR CO., LTD."
331,.day,generic,Charleston Road Registry Inc.
332,.dclk,generic,Charleston Road Registry Inc.
333,.dds,generic,Minds + Machines Group Limited
334,.de,country-code,DENIC eG
335,.deal,generic,"Amazon Registry Services, Inc."
336,.dealer,generic,Intercap Registry Inc.
337,.deals,generic,"Binky Moon, LLC"
338,.degree,generic,"United TLD Holdco, Ltd"
339,.delivery,generic,"Binky Moon, LLC"
340,.dell,generic,Dell Inc.
341,.deloitte,generic,Deloitte Touche Tohmatsu
342,.delta,generic,"Delta Air Lines, Inc."
343,.democrat,generic,United TLD Holdco Ltd.
344,.dental,generic,"Binky Moon, LLC"
345,.dentist,generic,"United TLD Holdco, Ltd"
346,.desi,generic,Desi Networks LLC
347,.design,generic,"Top Level Design, LLC"
348,.dev,generic,Charleston Road Registry Inc.
349,.dhl,generic,Deutsche Post AG
350,.diamonds,generic,"Binky Moon, LLC"
351,.diet,generic,"Uniregistry, Corp."
352,.digital,generic,"Binky Moon, LLC"
353,.direct,generic,"Binky Moon, LLC"
354,.directory,generic,"Binky Moon, LLC"
355,.discount,generic,"Binky Moon, LLC"
356,.discover,generic,Discover Financial Services
357,.dish,generic,Dish DBS Corporation
358,.diy,generic,"Lifestyle Domain Holdings, Inc."
359,.dj,country-code,Djibouti Telecom S.A
360,.dk,country-code,Dansk Internet Forum
361,.dm,country-code,DotDM Corporation
362,.dnp,generic,"Dai Nippon Printing Co., Ltd."
363,.do,country-code,Pontificia Universidad Catolica Madre y Maestra
364,.docs,generic,Charleston Road Registry Inc.
365,.doctor,generic,"Binky Moon, LLC"
366,.dodge,generic,Not assigned
367,.dog,generic,"Binky Moon, LLC"
368,.doha,generic,Not assigned
369,.domains,generic,"Binky Moon, LLC"
370,.doosan,generic,Retired
371,.dot,generic,Dish DBS Corporation
372,.download,generic,dot Support Limited
373,.drive,generic,Charleston Road Registry Inc.
374,.dtv,generic,Dish DBS Corporation
375,.dubai,generic,Dubai Smart Government Department
376,.duck,generic,"Johnson Shareholdings, Inc."
377,.dunlop,generic,The Goodyear Tire & Rubber Company
378,.duns,generic,Not assigned
379,.dupont,generic,E. I. du Pont de Nemours and Company
380,.durban,generic,ZA Central Registry NPC trading as ZA Central Registry
381,.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
382,.dvr,generic,Hughes Satellite Systems Corporation
383,.dz,country-code,CERIST
384,.earth,generic,"Interlink Co., Ltd."
385,.eat,generic,Charleston Road Registry Inc.
386,.ec,country-code,ECUADORDOMAIN S.A.
387,.eco,generic,Big Room Inc.
388,.edeka,generic,EDEKA Verband kaufmännischer Genossenschaften e.V.
389,.edu,sponsored,EDUCAUSE
390,.education,generic,"Binky Moon, LLC"
391,.ee,country-code,Eesti Interneti Sihtasutus (EIS)
392,.eg,country-code,Egyptian Universities Network (EUN)
393,.eh,country-code,Not assigned
394,.email,generic,"Binky Moon, LLC"
395,.emerck,generic,Merck KGaA
396,.energy,generic,"Binky Moon, LLC"
397,.engineer,generic,United TLD Holdco Ltd.
398,.engineering,generic,"Binky Moon, LLC"
399,.enterprises,generic,"Binky Moon, LLC"
400,.epost,generic,Not assigned
401,.epson,generic,Seiko Epson Corporation
402,.equipment,generic,"Binky Moon, LLC"
403,.er,country-code,Eritrea Telecommunication Services Corporation (EriTel)
404,.ericsson,generic,Telefonaktiebolaget L M Ericsson
405,.erni,generic,ERNI Group Holding AG
406,.es,country-code,Red.es
407,.esq,generic,Charleston Road Registry Inc.
408,.estate,generic,"Binky Moon, LLC"
409,.esurance,generic,Not assigned
410,.et,country-code,Ethio telecom
411,.etisalat,generic,Emirates Telecommunications Corporation (trading as Etisalat)
412,.eu,country-code,EURid vzw/asbl
