,Domain,Type,TLD Manager
676,.jpmorgan,generic,"JPMorgan Chase Bank, National Association"
677,.jprs,generic,"Japan Registry Services Co., Ltd."
678,.juegos,generic,"Uniregistry, Corp."
679,.juniper,generic,"JUNIPER NETWORKS, INC."
680,.kaufen,generic,United TLD Holdco Ltd.
681,.kddi,generic,KDDI CORPORATION
682,.ke,country-code,Kenya Network Information Center (KeNIC)
683,.kerryhotels,generic,Kerry Trading Co. Limited
684,.kerrylogistics,generic,Kerry Trading Co. Limited
685,.kerryproperties,generic,Kerry Trading Co. Limited
686,.kfh,generic,Kuwait Finance House
687,.kg,country-code,AsiaInfo Telecommunication Enterprise
688,.kh,country-code,Telecommunication Regulator of Cambodia (TRC)
689,.ki,country-code,"Ministry of Communications, Transport, and Tourism Development"
690,.kia,generic,KIA MOTORS CORPORATION
691,.kim,generic,Afilias Limited
692,.kinder,generic,Ferrero Trading Lux S.A.
693,.kindle,generic,"Amazon Registry Services, Inc."
694,.kitchen,generic,"Binky Moon, LLC"
695,.kiwi,generic,DOT KIWI LIMITED
696,.km,country-code,Comores Telecom
697,.kn,country-code,"Ministry of Finance, Sustainable Development Information & Technology"
698,.koeln,generic,dotKoeln GmbH
699,.komatsu,generic,Komatsu Ltd.
700,.kosher,generic,Kosher Marketing Assets LLC
701,.kp,country-code,Star Joint Venture Company
702,.kpmg,generic,KPMG International Cooperative (KPMG International Genossenschaft)
703,.kpn,generic,Koninklijke KPN N.V.
704,.kr,country-code,Korea Internet & Security Agency (KISA)
705,.krd,generic,KRG Department of Information Technology
706,.kred,generic,KredTLD Pty Ltd
707,.kuokgroup,generic,Kerry Trading Co. Limited
708,.kw,country-code,Communications and Information Technology Regulatory Authority
709,.ky,country-code,Utility Regulation and Competition Office (OfReg)
710,.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen
711,.kz,country-code,Association of IT Companies of Kazakhstan
712,.la,country-code,"Lao National Internet Committee (LANIC), Ministry of Posts and Telecommunications"
713,.lacaixa,generic,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA
714,.ladbrokes,generic,Not assigned
715,.lamborghini,generic,Automobili Lamborghini S.p.A.
716,.lamer,generic,The Estée Lauder Companies Inc.
717,.lancaster,generic,LANCASTER
718,.lancia,generic,Fiat Chrysler Automobiles N.V.
719,.lancome,generic,Not assigned
720,.land,generic,"Binky Moon, LLC"
721,.landrover,generic,Jaguar Land Rover Ltd
722,.lanxess,generic,LANXESS Corporation
723,.lasalle,generic,Jones Lang LaSalle Incorporated
724,.lat,generic,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico
725,.latino,generic,Dish DBS Corporation
726,.latrobe,generic,La Trobe University
727,.law,generic,LW TLD Limited
728,.lawyer,generic,"United TLD Holdco, Ltd"
729,.lb,country-code,American University of Beirut
730,.lc,country-code,University of Puerto Rico
731,.lds,generic,"IRI Domain Management, LLC"
732,.lease,generic,"Binky Moon, LLC"
733,.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc
734,.lefrak,generic,"LeFrak Organization, Inc."
735,.legal,generic,"Binky Moon, LLC"
736,.lego,generic,LEGO Juris A/S
737,.lexus,generic,TOYOTA MOTOR CORPORATION
738,.lgbt,generic,Afilias Limited
739,.li,country-code,SWITCH The Swiss Education & Research Network
740,.liaison,generic,Not assigned
741,.lidl,generic,Schwarz Domains und Services GmbH & Co. KG
742,.life,generic,"Binky Moon, LLC"
743,.lifeinsurance,generic,American Council of Life Insurers
744,.lifestyle,generic,"Lifestyle Domain Holdings, Inc."
745,.lighting,generic,"Binky Moon, LLC"
746,.like,generic,"Amazon Registry Services, Inc."
747,.lilly,generic,Eli Lilly and Company
748,.limited,generic,"Binky Moon, LLC"
749,.limo,generic,"Binky Moon, LLC"
750,.lincoln,generic,Ford Motor Company
751,.linde,generic,Linde Aktiengesellschaft
752,.link,generic,"Uniregistry, Corp."
753,.lipsy,generic,Lipsy Ltd
754,.live,generic,United TLD Holdco Ltd.
755,.living,generic,"Lifestyle Domain Holdings, Inc."
756,.lixil,generic,LIXIL Group Corporation
757,.lk,country-code,Council for Information Technology
758,.llc,generic,Afilias Limited
759,.llp,generic,Dot Registry LLC
760,.loan,generic,dot Loan Limited
761,.loans,generic,"Binky Moon, LLC"
762,.locker,generic,Dish DBS Corporation
763,.locus,generic,Locus Analytics LLC
764,.loft,generic,"Annco, Inc."
765,.lol,generic,"Uniregistry, Corp."
766,.london,generic,Dot London Domains Limited
767,.lotte,generic,"Lotte Holdings Co., Ltd."
768,.lotto,generic,Afilias Limited
769,.love,generic,Merchant Law Group LLP
770,.lpl,generic,"LPL Holdings, Inc."
771,.lplfinancial,generic,"LPL Holdings, Inc."
772,.lr,country-code,"Data Technology Solutions, Inc."
773,.ls,country-code,Lesotho Network Information Centre Proprietary (LSNIC)
774,.lt,country-code,Kaunas University of Technology
775,.ltd,generic,"Binky Moon, LLC"
776,.ltda,generic,InterNetX Corp.
777,.lu,country-code,RESTENA
778,.lundbeck,generic,H. Lundbeck A/S
779,.lupin,generic,LUPIN LIMITED
780,.luxe,generic,Minds + Machines Group Limited
781,.luxury,generic,Luxury Partners LLC
782,.lv,country-code,University of Latvia
783,.ly,country-code,General Post and Telecommunication Company
784,.ma,country-code,Agence Nationale de Réglementation des Télécommunications (ANRT)
785,.macys,generic,"Macys, Inc."
786,.madrid,generic,Comunidad de Madrid
787,.maif,generic,Mutuelle Assurance Instituteur France (MAIF)
788,.maison,generic,"Binky Moon, LLC"
789,.makeup,generic,L'Oréal
790,.man,generic,MAN SE
791,.management,generic,"Binky Moon, LLC"
792,.mango,generic,PUNTO FA S.L.
793,.map,generic,Charleston Road Registry Inc.
794,.market,generic,"United TLD Holdco, Ltd"
795,.marketing,generic,"Binky Moon, LLC"
796,.markets,generic,DOTMARKETS REGISTRY LTD
797,.marriott,generic,Marriott Worldwide Corporation
798,.marshalls,generic,"The TJX Companies, Inc."
799,.maserati,generic,Fiat Chrysler Automobiles N.V.
800,.mattel,generic,"Mattel Sites, Inc."
801,.mba,generic,"Binky Moon, LLC"
802,.mc,country-code,Gouvernement de Monaco
803,.mcd,generic,Not assigned
804,.mcdonalds,generic,Not assigned
805,.mckinsey,generic,"McKinsey Holdings, Inc."
806,.md,country-code,MoldData S.E.
807,.me,country-code,Government of Montenegro
808,.med,generic,Medistry LLC
809,.media,generic,"Binky Moon, LLC"
810,.meet,generic,Charleston Road Registry Inc.
811,.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation"
812,.meme,generic,Charleston Road Registry Inc.
813,.memorial,generic,"Dog Beach, LLC"
814,.men,generic,Exclusive Registry Limited
815,.menu,generic,"Wedding TLD2, LLC"
816,.meo,generic,Not assigned
817,.merckmsd,generic,"MSD Registry Holdings, Inc."
818,.metlife,generic,"MetLife Services and Solutions, LLC"
819,.mf,country-code,Not assigned
820,.mg,country-code,NIC-MG (Network Information Center Madagascar)
821,.mh,country-code,Office of the Cabinet
822,.miami,generic,Minds + Machines Group Limited
823,.microsoft,generic,Microsoft Corporation
824,.mil,sponsored,DoD Network Information Center
825,.mini,generic,Bayerische Motoren Werke Aktiengesellschaft
826,.mint,generic,"Intuit Administrative Services, Inc."
827,.mit,generic,Massachusetts Institute of Technology
828,.mitsubishi,generic,Mitsubishi Corporation
829,.mk,country-code,Macedonian Academic Research Network Skopje
830,.ml,country-code,Agence des Technologies de l’Information et de la Communication
831,.mlb,generic,"MLB Advanced Media DH, LLC"
832,.mls,generic,The Canadian Real Estate Association
833,.mm,country-code,Ministry of Transport and Communications
834,.mma,generic,MMA IARD
835,.mn,country-code,"Datacom Co., Ltd."
836,.mo,country-code,Macao Post and Telecommunications Bureau (CTT)
837,.mobi,generic,Afilias Technologies Limited dba dotMobi
838,.mobile,generic,Dish DBS Corporation
839,.mobily,generic,Not assigned
840,.moda,generic,United TLD Holdco Ltd.
841,.moe,generic,"Interlink Co., Ltd."
842,.moi,generic,"Amazon Registry Services, Inc."
843,.mom,generic,"Uniregistry, Corp."
844,.monash,generic,Monash University
845,.money,generic,"Binky Moon, LLC"
846,.monster,generic,XYZ.COM LLC
847,.montblanc,generic,Not assigned
848,.mopar,generic,Not assigned
849,.mormon,generic,"IRI Domain Management, LLC (""Applicant"")"
850,.mortgage,generic,"United TLD Holdco, Ltd"
851,.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
852,.moto,generic,"Motorola Trademark Holdings, LLC"
853,.motorcycles,generic,"DERMotorcycles, LLC"
854,.mov,generic,Charleston Road Registry Inc.
855,.movie,generic,"Binky Moon, LLC"
856,.movistar,generic,Not assigned
857,.mp,country-code,"Saipan Datacom, Inc."
858,.mq,country-code,MEDIASERV
859,.mr,country-code,Université de Nouakchott Al Aasriya
860,.ms,country-code,MNI Networks Ltd.
861,.msd,generic,"MSD Registry Holdings, Inc."
862,.mt,country-code,NIC (Malta)
863,.mtn,generic,MTN Dubai Limited
864,.mtpc,generic,Retired
865,.mtr,generic,MTR Corporation Limited
866,.mu,country-code,Internet Direct Ltd
867,.museum,sponsored,Museum Domain Management Association
868,.mutual,generic,"Northwestern Mutual MU TLD Registry, LLC"
869,.mutuelle,generic,Retired
870,.mv,country-code,Dhiraagu Pvt. Ltd. (DHIVEHINET)
871,.mw,country-code,Malawi Sustainable Development Network Programme
872,.mx,country-code,NIC-Mexico
873,.my,country-code,MYNIC Berhad
874,.mz,country-code,Centro de Informatica de Universidade Eduardo Mondlane
875,.na,country-code,Namibian Network Information Center
876,.nab,generic,National Australia Bank Limited
877,.nadex,generic,Not assigned
878,.nagoya,generic,"GMO Registry, Inc."
879,.name,generic-restricted,"VeriSign Information Services, Inc."
880,.nationwide,generic,Nationwide Mutual Insurance Company
881,.natura,generic,NATURA COSMÉTICOS S.A.
882,.navy,generic,United TLD Holdco Ltd.
883,.nba,generic,"NBA REGISTRY, LLC"
884,.nc,country-code,Office des Postes et Telecommunications
885,.ne,country-code,SONITEL
886,.nec,generic,NEC Corporation
887,.net,generic,VeriSign Global Registry Services
888,.netbank,generic,COMMONWEALTH BANK OF AUSTRALIA
889,.netflix,generic,"Netflix, Inc."
890,.network,generic,"Binky Moon, LLC"
891,.neustar,generic,"NeuStar, Inc."
892,.new,generic,Charleston Road Registry Inc.
893,.newholland,generic,CNH Industrial N.V.
894,.news,generic,United TLD Holdco Ltd.
895,.next,generic,Next plc
896,.nextdirect,generic,Next plc
897,.nexus,generic,Charleston Road Registry Inc.
898,.nf,country-code,Norfolk Island Data Services
899,.nfl,generic,NFL Reg Ops LLC
900,.ng,country-code,Nigeria Internet Registration Association
901,.ngo,generic,Public Interest Registry
902,.nhk,generic,Japan Broadcasting Corporation (NHK)
903,.ni,country-code,Universidad Nacional del Ingernieria
904,.nico,generic,"DWANGO Co., Ltd."
905,.nike,generic,"NIKE, Inc."
906,.nikon,generic,NIKON CORPORATION
907,.ninja,generic,United TLD Holdco Ltd.
908,.nissan,generic,"NISSAN MOTOR CO., LTD."
909,.nissay,generic,Nippon Life Insurance Company
910,.nl,country-code,SIDN (Stichting Internet Domeinregistratie Nederland)
911,.no,country-code,Norid A/S
912,.nokia,generic,Nokia Corporation
913,.northwesternmutual,generic,"Northwestern Mutual Registry, LLC"
914,.norton,generic,Symantec Corporation
915,.now,generic,"Amazon Registry Services, Inc."
916,.nowruz,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
917,.nowtv,generic,Starbucks (HK) Limited
918,.np,country-code,Mercantile Communications Pvt. Ltd.
919,.nr,country-code,CENPAC NET
920,.nra,generic,"NRA Holdings Company, INC."
921,.nrw,generic,Minds + Machines GmbH
922,.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION
923,.nu,country-code,The IUSN Foundation
924,.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications
925,.nz,country-code,InternetNZ
926,.obi,generic,OBI Group Holding SE & Co. KGaA
927,.observer,generic,"Top Level Spectrum, Inc."
928,.off,generic,"Johnson Shareholdings, Inc."
929,.office,generic,Microsoft Corporation
930,.okinawa,generic,"BRregistry, Inc."
931,.olayan,generic,Crescent Holding GmbH
932,.olayangroup,generic,Crescent Holding GmbH
933,.oldnavy,generic,"The Gap, Inc."
934,.ollo,generic,Dish DBS Corporation
935,.om,country-code,Telecommunications Regulatory Authority (TRA)
936,.omega,generic,The Swatch Group Ltd
937,.one,generic,One.com A/S
938,.ong,generic,Public Interest Registry
939,.onl,generic,"I-REGISTRY Ltd., Niederlassung Deutschland"
940,.online,generic,DotOnline Inc.
941,.onyourside,generic,Nationwide Mutual Insurance Company
942,.ooo,generic,INFIBEAM INCORPORATION LIMITED
943,.open,generic,"American Express Travel Related Services Company, Inc."
944,.oracle,generic,Oracle Corporation
945,.orange,generic,Orange Brand Services Limited
946,.org,generic,Public Interest Registry (PIR)
947,.organic,generic,Afilias Limited
948,.orientexpress,generic,Retired
949,.origins,generic,The Estée Lauder Companies Inc.
950,.osaka,generic,"Osaka Registry Co., Ltd."
951,.otsuka,generic,"Otsuka Holdings Co., Ltd."
952,.ott,generic,Dish DBS Corporation
953,.ovh,generic,OVH SAS
954,.pa,country-code,Universidad Tecnologica de Panama
955,.page,generic,Charleston Road Registry Inc.
956,.pamperedchef,generic,Not assigned
957,.panasonic,generic,Panasonic Corporation
958,.panerai,generic,Not assigned
959,.paris,generic,City of Paris
960,.pars,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
961,.partners,generic,"Binky Moon, LLC"
962,.parts,generic,"Binky Moon, LLC"
963,.party,generic,Blue Sky Registry Limited
964,.passagens,generic,Travel Reservations SRL
965,.pay,generic,"Amazon Registry Services, Inc."
966,.pccw,generic,PCCW Enterprises Limited
967,.pe,country-code,Red Cientifica Peruana
968,.pet,generic,Afilias Limited
969,.pf,country-code,Gouvernement de la Polynésie française
970,.pfizer,generic,Pfizer Inc.
971,.pg,country-code,PNG DNS Administration
972,.ph,country-code,PH Domain Foundation
973,.pharmacy,generic,National Association of Boards of Pharmacy
974,.phd,generic,Charleston Road Registry Inc.
975,.philips,generic,Koninklijke Philips N.V.
976,.phone,generic,Dish DBS Corporation
977,.photo,generic,"Uniregistry, Corp."
978,.photography,generic,"Binky Moon, LLC"
979,.photos,generic,"Binky Moon, LLC"
980,.physio,generic,PhysBiz Pty Ltd
981,.piaget,generic,Not assigned
982,.pics,generic,"Uniregistry, Corp."
983,.pictet,generic,Pictet Europe S.A.
984,.pictures,generic,"Binky Moon, LLC"
985,.pid,generic,"Top Level Spectrum, Inc."
986,.pin,generic,"Amazon Registry Services, Inc."
987,.ping,generic,"Ping Registry Provider, Inc."
988,.pink,generic,Afilias Limited
989,.pioneer,generic,Pioneer Corporation
990,.pizza,generic,"Binky Moon, LLC"
991,.pk,country-code,PKNIC
992,.pl,country-code,Research and Academic Computer Network
993,.place,generic,"Binky Moon, LLC"
994,.play,generic,Charleston Road Registry Inc.
995,.playstation,generic,Sony Computer Entertainment Inc.
996,.plumbing,generic,"Binky Moon, LLC"
997,.plus,generic,"Binky Moon, LLC"
998,.pm,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
999,.pn,country-code,Pitcairn Island Administration
1000,.pnc,generic,"PNC Domain Co., LLC"
1001,.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
1002,.poker,generic,Afilias Limited
1003,.politie,generic,Politie Nederland
1004,.porn,generic,ICM Registry PN LLC
1005,.post,sponsored,Universal Postal Union
1006,.pr,country-code,Gauss Research Laboratory Inc.
1007,.pramerica,generic,"Prudential Financial, Inc."
1008,.praxi,generic,Praxi S.p.A.
1009,.press,generic,DotPress Inc.
1010,.prime,generic,"Amazon Registry Services, Inc."
1011,.pro,generic-restricted,Afilias Limited
1012,.prod,generic,Charleston Road Registry Inc.
1013,.productions,generic,"Binky Moon, LLC"
1014,.prof,generic,Charleston Road Registry Inc.
1015,.progressive,generic,Progressive Casualty Insurance Company
1016,.promo,generic,Afilias Limited
1017,.properties,generic,"Binky Moon, LLC"
1018,.property,generic,"Uniregistry, Corp."
1019,.protection,generic,XYZ.COM LLC
1020,.pru,generic,"Prudential Financial, Inc."
1021,.prudential,generic,"Prudential Financial, Inc."
1022,.ps,country-code,Ministry Of Telecommunications &
1023,.pt,country-code,Associação DNS.PT
1024,.pub,generic,United TLD Holdco Ltd.
1025,.pw,country-code,Micronesia Investment and Development Corporation
1026,.pwc,generic,PricewaterhouseCoopers LLP
1027,.py,country-code,NIC-PY
1028,.qa,country-code,Communications Regulatory Authority
1029,.qpon,generic,"dotCOOL, Inc."
1030,.quebec,generic,PointQuébec Inc
1031,.quest,generic,XYZ.COM LLC
1032,.qvc,generic,"QVC, Inc."
1033,.racing,generic,Premier Registry Limited
1034,.radio,generic,European Broadcasting Union (EBU)
1035,.raid,generic,"Johnson Shareholdings, Inc."
1036,.re,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1037,.read,generic,"Amazon Registry Services, Inc."
1038,.realestate,generic,dotRealEstate LLC
1039,.realtor,generic,Real Estate Domains LLC
1040,.realty,generic,"Fegistry, LLC"
1041,.recipes,generic,"Binky Moon, LLC"
1042,.red,generic,Afilias Limited
1043,.redstone,generic,"Redstone Haute Couture Co., Ltd."
1044,.redumbrella,generic,"Travelers TLD, LLC"
1045,.rehab,generic,United TLD Holdco Ltd.
1046,.reise,generic,"Binky Moon, LLC"
1047,.reisen,generic,"Binky Moon, LLC"
1048,.reit,generic,"National Association of Real Estate Investment Trusts, Inc."
1049,.reliance,generic,Reliance Industries Limited
1050,.ren,generic,ZDNS International Limited
1051,.rent,generic,XYZ.COM LLC
1052,.rentals,generic,"Binky Moon, LLC"
1053,.repair,generic,"Binky Moon, LLC"
1054,.report,generic,"Binky Moon, LLC"
1055,.republican,generic,United TLD Holdco Ltd.
1056,.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
1057,.restaurant,generic,"Binky Moon, LLC"
1058,.review,generic,dot Review Limited
1059,.reviews,generic,"United TLD Holdco, Ltd."
1060,.rexroth,generic,Robert Bosch GMBH
1061,.rich,generic,"I-REGISTRY Ltd., Niederlassung Deutschland"
1062,.richardli,generic,Pacific Century Asset Management (HK) Limited
1063,.ricoh,generic,"Ricoh Company, Ltd."
1064,.rightathome,generic,"Johnson Shareholdings, Inc."
1065,.ril,generic,Reliance Industries Limited
1066,.rio,generic,Empresa Municipal de Informática SA - IPLANRIO
1067,.rip,generic,United TLD Holdco Ltd.
1068,.rmit,generic,Royal Melbourne Institute of Technology
1069,.ro,country-code,National Institute for R&D in Informatics
1070,.rocher,generic,Ferrero Trading Lux S.A.
1071,.rocks,generic,"United TLD Holdco, LTD."
1072,.rodeo,generic,Minds + Machines Group Limited
1073,.rogers,generic,Rogers Communications Canada Inc.
1074,.room,generic,"Amazon Registry Services, Inc."
1075,.rs,country-code,Serbian National Internet Domain Registry (RNIDS)
1076,.rsvp,generic,Charleston Road Registry Inc.
1077,.ru,country-code,Coordination Center for TLD RU
1078,.rugby,generic,World Rugby Strategic Developments Limited
1079,.ruhr,generic,regiodot GmbH & Co. KG
1080,.run,generic,"Binky Moon, LLC"
1081,.rw,country-code,Rwanda Internet Community and Technology  Alliance (RICTA) Ltd
1082,.rwe,generic,RWE AG
1083,.ryukyu,generic,"BRregistry, Inc."
1084,.sa,country-code,Communications and Information Technology Commission
1085,.saarland,generic,dotSaarland GmbH
1086,.safe,generic,"Amazon Registry Services, Inc."
1087,.safety,generic,"Safety Registry Services, LLC."
1088,.sakura,generic,SAKURA Internet Inc.
1089,.sale,generic,"United TLD Holdco, Ltd"
1090,.salon,generic,"Binky Moon, LLC"
1091,.samsclub,generic,"Wal-Mart Stores, Inc."
1092,.samsung,generic,"SAMSUNG SDS CO., LTD"
1093,.sandvik,generic,Sandvik AB
1094,.sandvikcoromant,generic,Sandvik AB
1095,.sanofi,generic,Sanofi
1096,.sap,generic,SAP AG
1097,.sapo,generic,Not assigned
1098,.sarl,generic,"Binky Moon, LLC"
1099,.sas,generic,Research IP LLC
1100,.save,generic,"Amazon Registry Services, Inc."
1101,.saxo,generic,Saxo Bank A/S
1102,.sb,country-code,Solomon Telekom Company Limited
1103,.sbi,generic,STATE BANK OF INDIA
1104,.sbs,generic,SPECIAL BROADCASTING SERVICE CORPORATION
1105,.sc,country-code,VCS Pty Ltd
1106,.sca,generic,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ)
1107,.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")"
1108,.schaeffler,generic,Schaeffler Technologies AG & Co. KG
1109,.schmidt,generic,SALM S.A.S.
1110,.scholarships,generic,"Scholarships.com, LLC"
1111,.school,generic,"Binky Moon, LLC"
1112,.schule,generic,"Binky Moon, LLC"
1113,.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG
1114,.science,generic,dot Science Limited
1115,.scjohnson,generic,"Johnson Shareholdings, Inc."
1116,.scor,generic,Not assigned
1117,.scot,generic,Dot Scot Registry Limited
1118,.sd,country-code,Sudan Internet Society
1119,.se,country-code,The Internet Infrastructure Foundation
1120,.search,generic,Charleston Road Registry Inc.
1121,.seat,generic,"SEAT, S.A. (Sociedad Unipersonal)"
1122,.secure,generic,"Amazon Registry Services, Inc."
1123,.security,generic,XYZ.COM LLC
1124,.seek,generic,Seek Limited
1125,.select,generic,"Registry Services, LLC"
1126,.sener,generic,"Sener Ingeniería y Sistemas, S.A."
1127,.services,generic,"Binky Moon, LLC"
1128,.ses,generic,SES
1129,.seven,generic,Seven West Media Ltd
1130,.sew,generic,SEW-EURODRIVE GmbH & Co KG
1131,.sex,generic,ICM Registry SX LLC
1132,.sexy,generic,"Uniregistry, Corp."
1133,.sfr,generic,Societe Francaise du Radiotelephone - SFR
1134,.sg,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
1135,.sh,country-code,Government of St. Helena
1136,.shangrila,generic,Shangri‐La International Hotel Management Limited
1137,.sharp,generic,Sharp Corporation
1138,.shaw,generic,Shaw Cablesystems G.P.
1139,.shell,generic,Shell Information Technology International Inc
1140,.shia,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
1141,.shiksha,generic,Afilias Limited
1142,.shoes,generic,"Binky Moon, LLC"
1143,.shop,generic,"GMO Registry, Inc."
1144,.shopping,generic,"Binky Moon, LLC"
1145,.shouji,generic,QIHOO 360 TECHNOLOGY CO. LTD.
1146,.show,generic,"Binky Moon, LLC"
1147,.showtime,generic,CBS Domains Inc.
1148,.shriram,generic,Shriram Capital Ltd.
1149,.si,country-code,Academic and Research Network of Slovenia (ARNES)
1150,.silk,generic,"Amazon Registry Services, Inc."
1151,.sina,generic,Sina Corporation
1152,.singles,generic,"Binky Moon, LLC"
1153,.site,generic,DotSite Inc.
1154,.sj,country-code,Norid A/S
1155,.sk,country-code,"SK-NIC, a.s."
1156,.ski,generic,Afilias Limited
1157,.skin,generic,L'Oréal
1158,.sky,generic,Sky International AG
1159,.skype,generic,Microsoft Corporation
1160,.sl,country-code,Sierratel
1161,.sling,generic,Hughes Satellite Systems Corporation
1162,.sm,country-code,Telecom Italia San Marino S.p.A.
1163,.smart,generic,"Smart Communications, Inc. (SMART)"
1164,.smile,generic,"Amazon Registry Services, Inc."
1165,.sn,country-code,Universite Cheikh Anta Diop
1166,.sncf,generic,SNCF (Société Nationale des Chemins de fer Francais)
1167,.so,country-code,Ministry of Post and Telecommunications
1168,.soccer,generic,"Binky Moon, LLC"
1169,.social,generic,United TLD Holdco Ltd.
1170,.softbank,generic,SoftBank Group Corp.
1171,.software,generic,"United TLD Holdco, Ltd"
1172,.sohu,generic,Sohu.com Limited
1173,.solar,generic,"Binky Moon, LLC"
1174,.solutions,generic,"Binky Moon, LLC"
1175,.song,generic,"Amazon Registry Services, Inc."
1176,.sony,generic,Sony Corporation
1177,.soy,generic,Charleston Road Registry Inc.
1178,.space,generic,DotSpace Inc.
1179,.spiegel,generic,Not assigned
1180,.sport,generic,Global Association of International Sports Federations (GAISF)
1181,.spot,generic,"Amazon Registry Services, Inc."
1182,.spreadbetting,generic,DOTSPREADBETTING REGISTRY LTD
1183,.sr,country-code,Telesur
1184,.srl,generic,InterNetX Corp.
1185,.srt,generic,Not assigned
1186,.ss,country-code,National Communication Authority (NCA)
1187,.st,country-code,Tecnisys
1188,.stada,generic,STADA Arzneimittel AG
1189,.staples,generic,"Staples, Inc."
1190,.star,generic,Star India Private Limited
1191,.starhub,generic,Not assigned
1192,.statebank,generic,STATE BANK OF INDIA
1193,.statefarm,generic,State Farm Mutual Automobile Insurance Company
1194,.statoil,generic,Not assigned
1195,.stc,generic,Saudi Telecom Company
1196,.stcgroup,generic,Saudi Telecom Company
1197,.stockholm,generic,Stockholms kommun
1198,.storage,generic,XYZ.COM LLC
1199,.store,generic,DotStore Inc.
1200,.stream,generic,dot Stream Limited
1201,.studio,generic,United TLD Holdco Ltd.
1202,.study,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD
1203,.style,generic,"Binky Moon, LLC"
1204,.su,country-code,Russian Institute for Development of Public Networks
1205,.sucks,generic,Vox Populi Registry Ltd.
1206,.supplies,generic,"Binky Moon, LLC"
1207,.supply,generic,"Binky Moon, LLC"
1208,.support,generic,"Binky Moon, LLC"
1209,.surf,generic,Minds + Machines Group Limited
1210,.surgery,generic,"Binky Moon, LLC"
1211,.suzuki,generic,SUZUKI MOTOR CORPORATION
1212,.sv,country-code,SVNet
1213,.swatch,generic,The Swatch Group Ltd
1214,.swiftcover,generic,Swiftcover Insurance Services Limited
1215,.swiss,generic,Swiss Confederation
1216,.sx,country-code,SX Registry SA B.V.
1217,.sy,country-code,National Agency for Network Services (NANS)
1218,.sydney,generic,"State of New South Wales, Department of Premier and Cabinet"
1219,.symantec,generic,Symantec Corporation
1220,.systems,generic,"Binky Moon, LLC"
1221,.sz,country-code,University of Swaziland
1222,.tab,generic,Tabcorp Holdings Limited
1223,.taipei,generic,Taipei City Government
1224,.talk,generic,"Amazon Registry Services, Inc."
1225,.taobao,generic,Alibaba Group Holding Limited
1226,.target,generic,"Target Domain Holdings, LLC"
1227,.tatamotors,generic,Tata Motors Ltd
1228,.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic"""
1229,.tattoo,generic,"Uniregistry, Corp."
1230,.tax,generic,"Binky Moon, LLC"
1231,.taxi,generic,"Binky Moon, LLC"
1232,.tc,country-code,Melrex TC
1233,.tci,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
1234,.td,country-code,l'Agence de Développement des Technologies de l'Information et de la Communication (ADETIC)
1235,.tdk,generic,TDK Corporation
1236,.team,generic,"Binky Moon, LLC"
1237,.tech,generic,Dot Tech LLC
1238,.technology,generic,"Binky Moon, LLC"
1239,.tel,sponsored,Telnames Ltd.
1240,.telecity,generic,Not assigned
1241,.telefonica,generic,Not assigned
1242,.temasek,generic,Temasek Holdings (Private) Limited
1243,.tennis,generic,"Binky Moon, LLC"
1244,.teva,generic,Teva Pharmaceutical Industries Limited
1245,.tf,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1246,.tg,country-code,Autorite de Reglementation des secteurs de Postes et de Telecommunications (ART&P)
1247,.th,country-code,Thai Network Information Center Foundation
1248,.thd,generic,"Home Depot Product Authority, LLC"
1249,.theater,generic,"Binky Moon, LLC"
1250,.theatre,generic,XYZ.COM LLC
1251,.tiaa,generic,Teachers Insurance and Annuity Association of America
1252,.tickets,generic,Accent Media Limited
1253,.tienda,generic,"Binky Moon, LLC"
1254,.tiffany,generic,Tiffany and Company
1255,.tips,generic,"Binky Moon, LLC"
1256,.tires,generic,"Binky Moon, LLC"
